PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,Beno Udrih (6123608),Beno Udrih,6123608,3800,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,SF,Lance Thomas (6123716),Lance Thomas,6123716,3800,GS@NY 07:30PM ET,NY,
,,,,,,,,,C,Festus Ezeli (6123806),Festus Ezeli,6123806,3700,GS@NY 07:30PM ET,GS,
,,,,,,,,,SF,Michael Kidd-Gilchrist (6123701),Michael Kidd-Gilchrist,6123701,3700,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,SF,P.J. Hairston (6123702),P.J. Hairston,6123702,3700,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,PG,Kirk Hinrich (6123621),Kirk Hinrich,6123621,3600,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,PF,Mike Scott (6123739),Mike Scott,6123739,3600,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,PG,Shaun Livingston (6123634),Shaun Livingston,6123634,3500,GS@NY 07:30PM ET,GS,
,,,,,,,,,C,Cole Aldrich (6123796),Cole Aldrich,6123796,3500,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,PF,Dwight Powell (6123773),Dwight Powell,6123773,3500,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,PF,Noah Vonleh (6123778),Noah Vonleh,6123778,3500,Min@Por 09:00PM ET,Por,
,,,,,,,,,SF,Tony Snell (6123707),Tony Snell,6123707,3400,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,PG,Jerian Grant (6123637),Jerian Grant,6123637,3400,GS@NY 07:30PM ET,NY,
,,,,,,,,,C,Salah Mejri (6123810),Salah Mejri,6123810,3400,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,PF,David Lee (6123753),David Lee,6123753,3300,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,SG,Kevin Martin (6123688),Kevin Martin,6123688,3300,Min@Por 09:00PM ET,Min,
,,,,,,,,,C,Marreese Speights (6123805),Marreese Speights,6123805,3300,GS@NY 07:30PM ET,GS,
,,,,,,,,,SF,Doug McDermott (6123708),Doug McDermott,6123708,3300,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,SG,Josh Richardson (6123656),Josh Richardson,6123656,3300,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,PG,Devin Harris (6123638),Devin Harris,6123638,3200,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,PF,Channing Frye (6123754),Channing Frye,6123754,3200,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,SG,Nick Young (6123658),Nick Young,6123658,3200,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,SG,Brandon Rush (6123676),Brandon Rush,6123676,3200,GS@NY 07:30PM ET,GS,
,,,,,,,,,C,JaVale McGee (6123809),JaVale McGee,6123809,3200,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,C,Tiago Splitter (6123782),Tiago Splitter,6123782,3200,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,SG,E'Twaun Moore (6123663),E'Twaun Moore,6123663,3200,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,SF,Lance Stephenson (6123706),Lance Stephenson,6123706,3200,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,PG,Troy Daniels (6123616),Troy Daniels,6123616,3200,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,PF,Nemanja Bjelica (6123776),Nemanja Bjelica,6123776,3200,Min@Por 09:00PM ET,Min,
,,,,,,,,,PG,Pablo Prigioni (6123625),Pablo Prigioni,6123625,3200,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,SG,Austin Rivers (6123666),Austin Rivers,6123666,3200,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,SF,Tayshaun Prince (6123727),Tayshaun Prince,6123727,3100,Min@Por 09:00PM ET,Min,
,,,,,,,,,PG,Leandro Barbosa (6123633),Leandro Barbosa,6123633,3100,GS@NY 07:30PM ET,GS,
,,,,,,,,,PF,Charlie Villanueva (6123769),Charlie Villanueva,6123769,3100,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,PF,Jason Smith (6123755),Jason Smith,6123755,3100,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PF,Luc Richard Mbah a Moute (6123747),Luc Richard Mbah a Moute,6123747,3100,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,PF,Tyler Hansbrough (6123743),Tyler Hansbrough,6123743,3100,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,SG,Gerald Henderson (6123689),Gerald Henderson,6123689,3100,Min@Por 09:00PM ET,Por,
,,,,,,,,,C,Nikola Pekovic (6123813),Nikola Pekovic,6123813,3100,Min@Por 09:00PM ET,Min,
,,,,,,,,,C,Tyler Zeller (6123799),Tyler Zeller,6123799,3100,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,PF,Andrew Nicholson (6123757),Andrew Nicholson,6123757,3100,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PF,Jonas Jerebko (6123758),Jonas Jerebko,6123758,3100,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,SF,Ryan Kelly (6123699),Ryan Kelly,6123699,3100,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,PF,Kevin Seraphin (6123764),Kevin Seraphin,6123764,3100,GS@NY 07:30PM ET,NY,
,,,,,,,,,SG,Tim Hardaway Jr. (6123654),Tim Hardaway Jr.,6123654,3100,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,SF,Anthony Brown (6123700),Anthony Brown,6123700,3100,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,SG,Jordan McRae (6123685),Jordan McRae,6123685,3100,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,PG,Shabazz Napier (6123628),Shabazz Napier,6123628,3100,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PF,Kevin Garnett (6123774),Kevin Garnett,6123774,3000,Min@Por 09:00PM ET,Min,
,,,,,,,,,PG,Andre Miller (6123643),Andre Miller,6123643,3000,Min@Por 09:00PM ET,Min,
