C,C,W,W,W,D,D,G,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,LW,Mikkel Boedker (6180703),Mikkel Boedker,6180703,4600,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,T.J. Brodie (6180866),T.J. Brodie,6180866,4600,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,D,Colton Parayko (6180855),Colton Parayko,6180855,4600,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,LW,Max Domi (6180709),Max Domi,6180709,4600,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,RW,Shane Doan (6180756),Shane Doan,6180756,4500,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,Dennis Wideman (6180859),Dennis Wideman,6180859,4500,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,D,Kris Russell (6180863),Kris Russell,6180863,4500,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,C,Nick Bjugstad (6180624),Nick Bjugstad,6180624,4500,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,J.T. Miller (6180570),J.T. Miller,6180570,4500,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Michael Frolik (6180758),Michael Frolik,6180758,4400,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,LW,Chris Kreider (6180665),Chris Kreider,6180665,4400,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,LW,Ondrej Palat (6180692),Ondrej Palat,6180692,4400,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,C,Alex Galchenyuk (6180557),Alex Galchenyuk,6180557,4400,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,RW,Ryan Callahan (6180738),Ryan Callahan,6180738,4300,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,RW,Tobias Rieder (6180761),Tobias Rieder,6180761,4300,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,RW,Jarome Iginla (6180731),Jarome Iginla,6180731,4200,Col@Det 07:30PM ET,Col,
,,,,,,,,,,RW,Jiri Hudler (6180757),Jiri Hudler,6180757,4200,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,D,Michael Stone (6180864),Michael Stone,6180864,4200,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,Ryan Ellis (6180833),Ryan Ellis,6180833,4200,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,C,Brandon Pirri (6180626),Brandon Pirri,6180626,4200,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Sam Bennett (6180645),Sam Bennett,6180645,4200,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,D,Andrei Markov (6180762),Andrei Markov,6180762,4100,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,LW,Dustin Brown (6180660),Dustin Brown,6180660,4100,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,RW,Kris Versteeg (6180725),Kris Versteeg,6180725,4100,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,C,Mikael Backlund (6180638),Mikael Backlund,6180638,4100,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,C,Tyler Ennis (6180553),Tyler Ennis,6180553,4100,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,RW,Craig Smith (6180742),Craig Smith,6180742,4100,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,C,Sam Reinhart (6180559),Sam Reinhart,6180559,4100,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,C,Brad Richards (6180586),Brad Richards,6180586,4000,Col@Det 07:30PM ET,Det,
,,,,,,,,,,C,Martin Hanzal (6180637),Martin Hanzal,6180637,4000,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,Jeff Petry (6180771),Jeff Petry,6180771,4000,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,D,Mattias Ekholm (6180837),Mattias Ekholm,6180837,4000,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,C,Vladislav Namestnikov (6180612),Vladislav Namestnikov,6180612,4000,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,LW,Alex Killorn (6180693),Alex Killorn,6180693,4000,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,D,Dan Boyle (6180779),Dan Boyle,6180779,3900,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,LW,Blake Comeau (6180681),Blake Comeau,6180681,3900,Col@Det 07:30PM ET,Col,
,,,,,,,,,,RW,Troy Brouwer (6180749),Troy Brouwer,6180749,3900,StL@Fla 07:30PM ET,StL,
